match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
23409,1999-03-20,Georgia,Ukraine,0.0,1.0,Friendly,Tbilisi,Georgia,False
23410,1999-03-21,Costa Rica,Honduras,0.0,1.0,UNCAF Cup,San José,Costa Rica,False
23411,1999-03-21,Dominican Republic,Puerto Rico,2.0,0.0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,True
23412,1999-03-21,El Salvador,Nicaragua,1.0,0.0,UNCAF Cup,San José,Costa Rica,True
23413,1999-03-21,Haiti,British Virgin Islands,6.0,0.0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,False
23414,1999-03-24,Costa Rica,Guatemala,1.0,0.0,UNCAF Cup,San José,Costa Rica,False
23415,1999-03-24,Honduras,El Salvador,3.0,1.0,UNCAF Cup,San José,Costa Rica,True
23416,1999-03-26,Costa Rica,Honduras,1.0,2.0,UNCAF Cup,San José,Costa Rica,False
23417,1999-03-26,Guatemala,El Salvador,1.0,0.0,UNCAF Cup,San José,Costa Rica,True
23418,1999-03-26,Portugal,Azerbaijan,7.0,0.0,UEFA Euro qualification,Guimarães,Portugal,False
23419,1999-03-27,Alderney,Guernsey,0.0,1.0,Muratti Vase,Alderney,Alderney,False
23420,1999-03-27,Andorra,Iceland,0.0,2.0,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
23421,1999-03-27,Armenia,Russia,0.0,3.0,UEFA Euro qualification,Yerevan,Armenia,False
23422,1999-03-27,Belarus,Switzerland,0.0,1.0,UEFA Euro qualification,Minsk,Belarus,False
23423,1999-03-27,Belgium,Bulgaria,0.0,1.0,Friendly,Brussels,Belgium,False
23424,1999-03-27,Czech Republic,Lithuania,2.0,0.0,UEFA Euro qualification,Teplice,Czech Republic,False
23425,1999-03-27,Denmark,Italy,1.0,2.0,UEFA Euro qualification,Copenhagen,Denmark,False
23426,1999-03-27,England,Poland,3.0,1.0,UEFA Euro qualification,London,England,False
23427,1999-03-27,France,Ukraine,0.0,0.0,UEFA Euro qualification,Saint-Denis,France,False
23428,1999-03-27,Georgia,Slovenia,1.0,1.0,UEFA Euro qualification,Tbilisi,Georgia,False
23429,1999-03-27,Greece,Norway,0.0,2.0,UEFA Euro qualification,Athens,Greece,False
23430,1999-03-27,Hungary,Liechtenstein,5.0,0.0,UEFA Euro qualification,Budapest,Hungary,False
23431,1999-03-27,Northern Ireland,Germany,0.0,3.0,UEFA Euro qualification,Belfast,Northern Ireland,False
23432,1999-03-27,Romania,Slovakia,0.0,0.0,UEFA Euro qualification,Bucharest,Romania,False
23433,1999-03-27,Spain,Austria,9.0,0.0,UEFA Euro qualification,Valencia,Spain,False
23434,1999-03-27,Sweden,Luxembourg,2.0,0.0,UEFA Euro qualification,Gothenburg,Sweden,False
23435,1999-03-27,Turkey,Moldova,2.0,0.0,UEFA Euro qualification,Istanbul,Turkey,False
23436,1999-03-28,Costa Rica,El Salvador,4.0,0.0,UNCAF Cup,San José,Costa Rica,False
23437,1999-03-28,Honduras,Guatemala,0.0,2.0,UNCAF Cup,San José,Costa Rica,True
23438,1999-03-28,Israel,Cyprus,3.0,0.0,UEFA Euro qualification,Ramat Gan,Israel,False
23439,1999-03-28,South Korea,Brazil,1.0,0.0,Friendly,Seoul,South Korea,False
23440,1999-03-28,Trinidad and Tobago,Jamaica,2.0,0.0,Friendly,Port of Spain,Trinidad and Tobago,False
23441,1999-03-30,Belgium,Egypt,0.0,1.0,Friendly,Liège,Belgium,False
23442,1999-03-30,Venezuela,Colombia,0.0,0.0,Friendly,Maracaibo,Venezuela,False
23443,1999-03-31,Azerbaijan,Romania,0.0,1.0,UEFA Euro qualification,Baku,Azerbaijan,False
23444,1999-03-31,France,Armenia,2.0,0.0,UEFA Euro qualification,Saint-Denis,France,False
23445,1999-03-31,Germany,Finland,2.0,0.0,UEFA Euro qualification,Nuremberg,Germany,False
23446,1999-03-31,Italy,Belarus,1.0,1.0,UEFA Euro qualification,Ancona,Italy,False
23447,1999-03-31,Jamaica,Paraguay,3.0,0.0,Friendly,Kingston,Jamaica,False
23448,1999-03-31,Japan,Brazil,0.0,2.0,Friendly,Tokyo,Japan,False
23449,1999-03-31,Latvia,Greece,0.0,0.0,UEFA Euro qualification,Riga,Latvia,False
23450,1999-03-31,Liechtenstein,Portugal,0.0,5.0,UEFA Euro qualification,Vaduz,Liechtenstein,False
23451,1999-03-31,Lithuania,Estonia,1.0,2.0,UEFA Euro qualification,Vilnius,Lithuania,False
23452,1999-03-31,Luxembourg,Bulgaria,0.0,2.0,UEFA Euro qualification,Luxembourg,Luxembourg,False
23453,1999-03-31,Moldova,Northern Ireland,0.0,0.0,UEFA Euro qualification,Chișinău,Moldova,False
23454,1999-03-31,Netherlands,Argentina,1.0,1.0,Friendly,Amsterdam,Netherlands,False
23455,1999-03-31,Poland,Sweden,0.0,1.0,UEFA Euro qualification,Chorzów,Poland,False
23456,1999-03-31,Russia,Andorra,6.0,1.0,UEFA Euro qualification,Moscow,Russia,False
