placed_at_utc,home_team,away_team,market,selection,decimal_odds,model_p,stake,bet_type,edge,closing_odds
2026-06-10T23:56:57+00:00,Mexico,South Africa,O/U 2.5,over,2.22,0.466180461865261,7.16,value,0.034920625340879585,
2026-06-10T23:56:57+00:00,Mexico,South Africa,1X2,home,1.4,0.798331417038021,73.54,value,0.1176639838532294,
2026-06-11T17:18:33+00:00,South Korea,Czech Republic,1X2,home,2.6,0.4275409423696555,17.44,value,0.11160645016110426,
2026-06-13T18:50:33+00:00,Qatar,Switzerland,O/U 2.5,under,2.22,0.5145139426629335,29.14,value,0.14222095271171242,
2026-06-13T21:11:44+00:00,Brazil,Morocco,1X2,away,5.7,0.2712767678465073,29.06,value,0.5462775767250916,
2026-06-13T21:12:21+00:00,Brazil,Morocco,O/U 2.5,under,1.7142857142857144,0.6107253347442656,16.44,value,0.04695771670445548,
2026-06-14T01:02:41+00:00,Haiti,Scotland,Correct score,1-1,9.0,0.1317865603622633,5.81,value,0.18607904326036961,
2026-06-14T01:03:11+00:00,Haiti,Scotland,O/U 2.5,under,2.05,0.5222671299941297,16.82,value,0.07064761648796591,
2026-06-15T15:20:32+00:00,Belgium,Egypt,1X2,home,1.5714285714285714,0.6466366867206048,7.06,value,0.016143364846664676,
